,date,location,mintemp,maxtemp,rainfall,humidity9am,humidity3pm,pressure9am,pressure3pm,temp9am,temp3pm,raintomorrow_offset1day,labels
63,2012-03-16,Albury,19.2,20.4,19.2,93.0,93.0,1010.5,1012.3,19.8,16.9,1,0
64,2012-03-17,Albury,12.6,24.4,17.4,98.0,50.0,1016.0,1014.9,14.5,23.8,1,0
65,2012-03-18,Albury,10.4,25.5,0.0,68.0,46.0,1022.9,1020.9,15.9,23.6,0,0
66,2012-03-19,Albury,11.6,26.3,0.0,78.0,41.0,1024.3,1020.5,16.0,24.8,0,0
67,2012-03-20,Albury,12.4,28.4,0.0,74.0,47.0,1018.6,1013.1,17.6,26.9,0,0
68,2012-03-21,Albury,16.5,27.7,0.0,66.0,61.0,1007.9,1004.2,20.9,25.4,0,0
69,2012-03-22,Albury,8.2,22.1,0.0,72.0,46.0,1008.7,1006.1,12.6,21.5,0,0
70,2012-03-23,Albury,11.0,18.3,0.0,83.0,47.0,1006.9,1006.9,12.5,16.7,0,0
71,2012-03-24,Albury,8.9,19.7,0.4,79.0,54.0,1015.0,1015.4,11.1,17.5,0,0
72,2012-03-25,Albury,6.2,21.0,0.0,85.0,46.0,1022.4,1020.5,10.2,19.8,0,0
73,2012-03-26,Albury,7.7,23.0,0.0,90.0,45.0,1023.0,1020.6,11.1,22.3,0,0
74,2012-03-27,Albury,10.6,22.0,0.0,86.0,57.0,1022.7,1020.6,13.5,21.1,0,0
75,2012-03-28,Albury,13.5,23.4,0.0,86.0,75.0,1021.1,1018.1,16.5,21.9,0,0
76,2012-03-29,Albury,9.4,25.4,1.4,87.0,43.0,1020.6,1017.4,13.0,24.3,1,0
77,2012-03-30,Albury,11.0,26.5,0.0,81.0,44.0,1019.2,1016.0,15.1,25.5,0,0
78,2012-04-04,Albury,13.1,28.1,0.0,78.0,52.0,1016.3,1013.9,19.4,27.2,0,0
79,2012-04-05,Albury,12.7,28.5,0.0,78.0,51.0,1019.5,1016.4,19.6,27.8,0,0
80,2012-04-06,Albury,14.5,28.6,0.0,81.0,51.0,1018.1,1013.2,20.1,28.0,0,0
81,2012-04-07,Albury,10.1,20.4,0.0,59.0,41.0,1020.8,1018.8,14.1,19.9,0,0
82,2012-04-10,Albury,1.0,17.5,0.0,68.0,37.0,1030.2,1028.9,8.9,16.9,0,0
83,2012-04-11,Albury,3.0,20.1,0.0,68.0,34.0,1034.1,1031.0,10.0,19.0,0,0
84,2012-04-12,Albury,4.3,21.7,0.0,79.0,35.0,1035.1,1031.1,11.3,21.0,0,0
85,2012-04-16,Albury,8.2,26.2,0.0,79.0,36.0,1025.6,1022.3,15.5,25.8,0,0
86,2012-04-19,Albury,16.9,21.4,0.8,80.0,76.0,1018.4,1015.8,18.3,20.5,0,0
87,2012-04-20,Albury,14.6,22.7,34.2,100.0,62.0,1017.3,1014.7,15.7,21.9,1,0
88,2012-04-21,Albury,11.2,25.4,0.0,86.0,50.0,1016.5,1012.1,17.0,25.3,0,0
89,2012-04-22,Albury,14.0,23.0,1.4,95.0,57.0,1012.7,1008.7,16.4,21.8,1,0
90,2012-04-25,Albury,7.3,17.0,1.0,81.0,63.0,1015.1,1013.6,9.8,16.8,0,0
91,2012-04-26,Albury,5.0,17.0,0.0,95.0,63.0,1021.9,1019.4,9.5,16.7,0,0
92,2012-04-27,Albury,5.5,19.6,0.0,100.0,58.0,1023.0,1021.2,9.4,19.2,0,0
93,2012-04-30,Albury,4.4,19.9,0.0,79.0,50.0,1026.2,1022.8,10.4,19.4,0,0
94,2012-05-03,Albury,2.0,14.7,1.6,80.0,53.0,1022.9,1020.8,8.1,13.8,1,0
95,2012-05-04,Albury,3.5,15.7,0.0,87.0,56.0,1023.3,1020.4,8.6,14.9,0,0
96,2012-05-07,Albury,4.0,14.5,0.0,99.0,68.0,1021.1,1017.5,8.0,13.8,0,0
97,2012-05-13,Albury,6.4,14.8,0.0,81.0,56.0,1015.9,1016.2,9.2,13.6,0,0
98,2012-05-14,Albury,-0.4,15.5,0.0,81.0,46.0,1025.2,1024.3,5.4,14.3,0,0
99,2012-05-15,Albury,0.4,17.5,0.0,84.0,52.0,1027.0,1024.1,7.5,17.2,0,0
100,2012-05-24,Albury,7.8,17.0,0.0,82.0,96.0,1017.5,1015.2,10.9,11.8,0,0
101,2012-05-25,Albury,5.5,9.4,29.4,87.0,86.0,1011.4,1008.6,7.6,8.6,1,0
102,2012-05-26,Albury,6.7,13.2,6.0,95.0,79.0,1016.1,1015.3,7.9,12.2,1,0
103,2012-05-27,Albury,5.7,15.4,0.4,100.0,63.0,1023.5,1022.2,7.0,15.0,0,0
104,2012-05-28,Albury,1.9,15.9,0.2,97.0,57.0,1028.7,1027.1,6.1,15.2,0,0
105,2012-06-01,Albury,3.5,16.3,0.0,100.0,56.0,1030.1,1025.9,7.9,15.8,0,0
106,2012-06-04,Albury,4.8,14.5,0.0,100.0,86.0,1008.4,1005.1,6.3,10.8,0,0
107,2012-06-05,Albury,6.2,16.0,6.0,63.0,52.0,1003.3,1008.5,14.3,14.8,1,0
108,2012-06-09,Albury,0.0,14.8,0.0,100.0,64.0,1028.2,1025.2,3.0,12.5,0,0
109,2012-06-14,Albury,2.3,16.7,0.0,97.0,65.0,1018.2,1013.8,7.3,15.4,0,0
110,2012-06-15,Albury,7.3,15.6,0.0,83.0,59.0,1014.6,1013.5,11.6,13.9,0,0
111,2012-06-16,Albury,1.4,10.3,0.0,98.0,86.0,1017.5,1015.0,5.5,9.9,0,0
112,2012-06-17,Albury,4.4,11.6,0.0,93.0,89.0,1020.9,1020.5,8.8,10.2,0,0
113,2012-06-22,Albury,7.5,9.7,5.2,91.0,90.0,1006.6,1009.0,8.4,8.9,1,0
114,2012-06-23,Albury,-1.7,10.6,0.8,100.0,68.0,1025.1,1025.3,0.3,10.4,0,0
115,2012-06-24,Albury,0.2,11.3,0.4,98.0,89.0,1031.1,1029.9,8.0,10.9,0,0
116,2012-06-25,Albury,3.1,13.3,1.4,100.0,81.0,1031.0,1028.4,7.7,12.0,1,0
117,2012-07-02,Albury,6.4,12.3,4.6,97.0,74.0,1020.2,1020.0,7.5,12.0,1,0
118,2012-07-03,Albury,0.3,12.6,0.0,100.0,67.0,1024.7,1022.1,4.2,12.3,0,0
119,2012-07-04,Albury,-0.2,13.9,0.2,100.0,47.0,1029.3,1028.6,3.0,12.2,0,0
120,2012-07-11,Albury,9.0,14.0,27.2,87.0,73.0,1019.1,1017.8,10.8,13.0,1,0
121,2012-07-14,Albury,9.8,14.5,14.2,97.0,72.0,1012.1,1010.2,10.3,13.0,1,0
122,2012-07-15,Albury,6.4,11.3,9.4,89.0,64.0,1020.4,1021.6,7.2,10.2,1,0
123,2012-07-16,Albury,7.2,12.4,2.8,94.0,89.0,1028.6,1027.2,10.1,12.0,1,0
124,2012-07-27,Albury,6.7,11.5,6.2,96.0,86.0,1013.2,1012.3,7.8,10.3,1,0
125,2012-07-28,Albury,4.1,13.2,4.0,100.0,71.0,1020.8,1020.1,5.9,12.4,1,0
126,2012-08-06,Albury,4.1,11.9,1.4,86.0,60.0,1020.0,1020.7,6.1,11.1,1,0
127,2012-08-13,Albury,-0.1,15.4,0.0,89.0,61.0,1028.8,1024.2,6.7,13.9,0,0
128,2012-08-20,Albury,2.1,12.4,0.0,89.0,55.0,1024.6,1020.4,6.4,11.7,0,0
129,2012-08-21,Albury,2.1,16.4,0.0,84.0,45.0,1020.1,1015.3,7.9,15.6,0,0
130,2012-08-22,Albury,6.2,19.4,0.0,74.0,50.0,1012.6,1005.7,11.3,18.5,0,0
131,2012-08-23,Albury,8.2,13.6,1.0,79.0,96.0,1007.3,1004.1,11.8,11.7,0,0
132,2012-08-24,Albury,5.3,11.4,9.4,90.0,70.0,1013.7,1012.9,6.1,11.1,1,0
133,2012-08-25,Albury,6.1,10.7,2.0,86.0,63.0,1020.6,1019.6,7.0,10.6,1,0
134,2012-08-26,Albury,7.0,14.2,0.8,85.0,50.0,1020.7,1020.5,10.2,13.8,0,0
135,2012-08-27,Albury,-0.2,14.3,0.0,100.0,59.0,1026.4,1023.2,4.6,13.9,0,0
136,2012-08-28,Albury,1.2,15.3,0.0,87.0,55.0,1024.9,1019.9,7.6,14.8,0,0
137,2012-08-29,Albury,2.9,17.6,0.0,72.0,48.0,1013.4,1007.7,10.8,17.0,0,0
138,2012-08-30,Albury,6.2,12.8,0.6,85.0,53.0,1012.1,1014.3,8.6,10.9,0,0
139,2012-08-31,Albury,3.4,13.4,1.0,88.0,47.0,1019.1,1018.0,5.3,12.9,0,0
140,2012-09-01,Albury,-1.3,15.0,0.4,76.0,44.0,1025.8,1023.1,6.2,14.2,0,0
141,2012-09-02,Albury,0.0,16.2,0.0,83.0,45.0,1025.7,1022.5,7.9,15.2,0,0
142,2012-09-05,Albury,2.7,22.1,0.0,39.0,43.0,1011.0,1000.8,16.8,18.9,0,0
143,2012-09-06,Albury,7.7,17.2,0.2,69.0,57.0,1009.5,1008.1,12.4,15.9,0,0
144,2012-09-07,Albury,6.8,13.8,2.6,86.0,59.0,1006.8,1008.8,8.0,12.4,1,0
145,2012-09-08,Albury,7.5,15.2,3.4,86.0,63.0,1017.9,1017.4,9.6,14.0,1,0
146,2012-09-09,Albury,6.8,17.3,0.0,73.0,54.0,1025.3,1023.6,11.1,17.1,0,0
147,2012-09-10,Albury,3.5,19.1,0.0,100.0,53.0,1026.3,1021.7,8.7,18.1,0,0
148,2012-09-11,Albury,2.7,18.8,0.0,94.0,44.0,1025.9,1022.0,9.6,17.7,0,0
149,2012-09-12,Albury,2.6,20.9,0.0,80.0,37.0,1021.2,1015.2,11.3,20.6,0,0
150,2012-09-13,Albury,9.1,15.5,1.6,67.0,46.0,1010.4,1011.9,11.8,14.6,1,0
151,2012-09-14,Albury,0.8,13.7,0.0,77.0,61.0,1022.5,1020.6,7.7,12.8,0,0
152,2012-09-15,Albury,2.4,17.5,0.0,79.0,49.0,1026.0,1022.9,10.0,17.1,0,0
153,2012-09-16,Albury,3.0,17.6,0.0,88.0,56.0,1021.6,1018.2,10.5,16.3,0,0
154,2012-09-17,Albury,4.7,17.9,0.0,82.0,53.0,1019.8,1017.3,11.9,16.6,0,0
155,2012-09-18,Albury,5.0,16.5,0.0,85.0,68.0,1017.4,1013.4,11.2,15.4,0,0
156,2012-09-19,Albury,8.4,19.2,13.2,87.0,58.0,1017.8,1015.1,12.7,18.6,1,0
157,2012-09-20,Albury,10.4,22.1,0.4,87.0,50.0,1018.0,1010.6,14.0,21.4,0,0
158,2012-09-21,Albury,11.9,19.4,0.0,85.0,60.0,1015.5,1014.5,13.2,18.3,0,0
159,2012-09-22,Albury,5.1,19.9,0.2,90.0,51.0,1018.6,1013.6,11.5,19.0,0,0
160,2012-09-23,Albury,4.2,20.7,0.0,79.0,45.0,1009.4,1008.3,13.0,18.9,0,0
161,2012-09-24,Albury,5.3,15.0,0.0,74.0,44.0,1015.8,1016.1,11.0,14.7,0,0
162,2012-09-27,Albury,7.6,25.7,0.0,77.0,44.0,1014.5,1007.8,14.3,23.8,0,0
163,2012-09-28,Albury,14.3,24.3,0.0,45.0,62.0,1000.8,1001.6,23.2,16.3,0,0
164,2012-09-29,Albury,8.1,14.0,4.2,69.0,41.0,1010.5,1012.5,9.0,13.0,1,0
165,2012-09-30,Albury,2.6,15.3,0.2,75.0,49.0,1021.8,1021.7,9.1,13.7,0,0
166,2012-10-01,Albury,1.8,19.1,0.0,70.0,45.0,1029.8,1026.9,10.8,18.2,0,0
167,2012-10-02,Albury,4.6,22.2,0.0,66.0,44.0,1033.0,1028.6,13.7,21.1,0,0
168,2012-10-03,Albury,5.2,24.8,0.0,75.0,36.0,1027.7,1022.7,14.8,24.0,0,0
169,2012-10-08,Albury,3.5,16.8,0.0,93.0,58.0,1016.0,1013.0,8.2,15.4,0,0
170,2012-10-11,Albury,7.4,11.6,0.8,89.0,85.0,1007.5,1008.0,8.8,10.2,0,0
171,2012-10-12,Albury,5.0,17.9,7.6,48.0,41.0,1015.5,1016.1,11.4,17.1,1,0
172,2012-10-13,Albury,4.0,18.6,0.0,76.0,43.0,1022.1,1020.3,10.2,17.3,0,0
173,2012-10-14,Albury,4.7,21.0,0.0,83.0,50.0,1025.7,1023.1,10.7,20.1,0,0
174,2012-10-15,Albury,6.4,25.7,0.0,79.0,40.0,1024.8,1020.0,13.0,24.8,0,0
175,2012-10-16,Albury,8.7,19.0,0.0,87.0,77.0,1016.0,1014.2,12.4,16.3,0,0
176,2012-10-17,Albury,5.2,19.0,2.2,69.0,45.0,1020.0,1018.7,10.4,17.9,1,0
177,2012-10-18,Albury,5.5,22.6,0.0,79.0,43.0,1020.5,1018.0,12.8,21.8,0,0
178,2012-10-19,Albury,8.5,27.2,0.0,78.0,35.0,1015.9,1010.6,14.9,26.1,0,0
179,2012-10-22,Albury,5.8,19.0,0.0,56.0,34.0,1020.6,1021.8,12.0,18.0,0,0
180,2012-10-23,Albury,4.4,20.7,0.0,64.0,41.0,1027.0,1023.7,10.6,19.8,0,0
181,2012-10-24,Albury,5.4,23.6,0.0,71.0,45.0,1022.9,1017.8,12.8,21.9,0,0
182,2012-10-25,Albury,12.7,23.8,0.0,40.0,45.0,1009.7,1009.5,20.6,22.6,0,0
183,2012-10-26,Albury,7.1,18.5,0.0,72.0,41.0,1012.1,1010.7,11.4,17.8,0,0
184,2012-10-27,Albury,6.3,20.4,0.0,64.0,38.0,1018.2,1017.8,11.5,18.4,0,0
185,2012-10-28,Albury,6.2,23.7,0.0,63.0,35.0,1023.9,1021.1,13.7,22.5,0,0
186,2012-10-29,Albury,9.0,27.0,0.0,72.0,31.0,1022.1,1017.9,16.4,25.8,0,0
187,2012-10-30,Albury,11.0,28.8,0.0,64.0,40.0,1017.6,1013.4,18.1,28.5,0,0
188,2012-10-31,Albury,10.8,31.2,0.0,70.0,38.0,1016.0,1012.2,19.0,29.7,0,0
189,2012-11-01,Albury,17.3,20.6,0.0,53.0,47.0,1007.0,1008.6,20.4,19.3,0,0
190,2012-11-02,Albury,6.4,22.4,0.0,64.0,43.0,1016.6,1014.5,11.8,21.1,0,0
191,2012-11-03,Albury,9.2,24.5,0.0,65.0,37.0,1018.2,1015.7,15.4,23.5,0,0
192,2012-11-04,Albury,9.2,28.5,0.0,69.0,30.0,1018.1,1014.5,17.5,27.2,0,0
193,2012-11-07,Albury,18.4,20.0,10.6,95.0,93.0,1011.2,1008.9,19.4,19.4,1,0
194,2012-11-08,Albury,16.1,26.1,24.6,83.0,55.0,1012.8,1011.1,18.4,21.8,1,0
195,2012-11-09,Albury,10.3,21.8,1.6,68.0,37.0,1017.5,1017.1,16.0,20.9,1,0
196,2012-11-10,Albury,6.5,22.9,0.0,52.0,27.0,1023.8,1021.4,14.5,20.9,0,0
197,2012-11-11,Albury,8.3,24.5,0.0,67.0,35.0,1027.0,1022.7,15.2,23.4,0,0
198,2012-11-12,Albury,9.3,31.6,0.0,68.0,31.0,1021.7,1015.5,18.2,29.4,0,0
199,2012-11-13,Albury,9.1,24.6,0.0,63.0,37.0,1019.3,1016.9,16.8,24.1,0,0
200,2012-11-14,Albury,9.9,24.6,0.0,61.0,35.0,1017.8,1014.6,16.8,23.1,0,0
201,2012-11-15,Albury,10.0,26.2,0.0,67.0,25.0,1013.8,1011.8,17.1,24.9,0,0
202,2012-11-16,Albury,13.1,24.1,0.0,54.0,29.0,1011.6,1009.4,18.0,23.5,0,0
203,2012-11-17,Albury,9.0,24.2,0.0,57.0,44.0,1015.0,1011.4,16.2,23.3,0,0
204,2012-11-18,Albury,7.2,21.4,0.0,50.0,35.0,1012.5,1011.0,17.4,20.1,0,0
205,2012-11-19,Albury,5.8,25.3,0.0,58.0,36.0,1018.0,1016.9,15.3,23.8,0,0
206,2012-11-20,Albury,8.3,26.9,0.0,56.0,34.0,1022.2,1018.1,17.3,26.0,0,0
207,2012-11-21,Albury,12.3,32.4,0.0,46.0,24.0,1015.0,1008.2,21.2,31.5,0,0
208,2012-11-22,Albury,10.9,27.4,0.0,47.0,27.0,1016.0,1013.9,18.0,26.2,0,0
209,2012-11-23,Albury,11.1,29.0,0.0,61.0,28.0,1018.1,1014.4,18.9,27.6,0,0
210,2012-11-24,Albury,12.4,32.7,0.0,64.0,30.0,1015.6,1012.0,21.5,30.4,0,0
211,2012-11-25,Albury,15.3,36.7,0.0,55.0,16.0,1013.9,1011.2,23.8,35.8,0,0
212,2012-11-26,Albury,16.6,31.9,0.0,59.0,21.0,1014.4,1012.5,22.3,31.2,0,0
213,2012-11-27,Albury,15.9,28.1,0.2,71.0,52.0,1013.3,1013.4,19.5,26.3,0,0
214,2012-11-28,Albury,16.8,32.5,0.4,59.0,44.0,1014.3,1011.2,23.9,31.2,0,0
215,2012-11-29,Albury,17.8,37.4,0.0,56.0,35.0,1012.4,1008.4,27.5,35.4,0,0
216,2012-11-30,Albury,23.0,34.4,0.0,53.0,46.0,1010.4,1011.0,29.5,31.1,0,0
217,2013-01-02,Albury,13.8,33.6,0.0,48.0,17.0,1012.2,1010.9,21.4,31.2,0,0
218,2013-01-03,Albury,15.8,36.9,0.0,32.0,20.0,1015.8,1011.9,23.6,33.9,0,0
219,2013-01-04,Albury,18.6,40.7,0.0,44.0,12.0,1012.3,1008.1,27.8,39.3,0,0
220,2013-01-05,Albury,19.8,43.4,0.0,36.0,17.0,1012.4,1009.8,30.7,42.4,0,0
221,2013-01-06,Albury,20.9,42.0,12.6,40.0,22.0,1017.6,1014.3,29.2,40.7,1,0
222,2013-01-07,Albury,21.9,40.4,0.0,47.0,22.0,1018.2,1012.4,29.7,38.2,0,0
223,2013-01-08,Albury,21.9,39.2,0.0,24.0,16.0,1002.4,997.2,34.5,34.9,0,0
224,2013-01-09,Albury,13.3,25.1,0.0,46.0,27.0,1002.4,1002.1,17.0,23.9,0,0
225,2013-01-10,Albury,11.2,32.2,0.0,48.0,24.0,1007.8,1006.0,20.1,29.5,0,0
226,2013-01-11,Albury,14.5,38.8,0.0,48.0,12.0,1007.6,1004.1,23.0,36.4,0,0
227,2013-01-12,Albury,17.0,28.8,0.0,42.0,32.0,1007.0,1010.2,23.2,26.0,0,0
228,2013-01-13,Albury,18.1,22.3,0.0,57.0,80.0,1011.7,1013.5,20.1,16.8,0,0
229,2013-01-14,Albury,8.9,27.1,3.2,46.0,29.0,1017.6,1015.5,16.1,25.0,1,0
230,2013-01-15,Albury,11.2,31.4,0.0,52.0,27.0,1018.1,1014.3,19.6,28.2,0,0
231,2013-01-16,Albury,13.6,36.1,0.0,51.0,12.0,1013.9,1010.3,21.8,34.2,0,0
232,2013-01-17,Albury,15.5,39.9,0.0,46.0,11.0,1009.4,1005.0,24.6,37.7,0,0
233,2013-01-18,Albury,18.9,43.1,0.0,38.0,12.0,999.9,998.5,27.0,40.6,0,0
234,2013-01-19,Albury,18.1,32.2,0.8,51.0,30.0,1010.2,1009.5,23.0,29.8,0,0
235,2013-01-20,Albury,16.4,34.6,0.0,51.0,32.0,1014.5,1010.5,23.3,32.9,0,0
236,2013-01-21,Albury,19.2,36.8,0.0,46.0,29.0,1012.1,1007.1,27.7,35.2,0,0
237,2013-01-22,Albury,16.6,36.5,0.2,63.0,11.0,1009.1,1006.7,24.2,35.6,0,0
238,2013-01-23,Albury,15.7,34.0,0.0,45.0,20.0,1013.4,1010.8,23.3,31.7,0,0
239,2013-01-24,Albury,15.9,37.0,0.0,56.0,23.0,1015.2,1010.4,24.1,35.0,0,0
240,2013-01-25,Albury,21.2,35.2,0.0,47.0,31.0,1009.7,1007.0,27.2,34.0,0,0
241,2013-01-26,Albury,21.6,36.5,0.0,50.0,33.0,1009.9,1004.5,25.8,36.3,0,0
242,2013-01-27,Albury,15.3,32.9,0.0,60.0,20.0,1008.5,1005.3,18.4,31.8,0,0
243,2013-01-28,Albury,18.4,34.7,0.0,61.0,36.0,1007.6,1003.9,23.1,32.3,0,0
244,2013-01-29,Albury,20.4,32.1,0.0,51.0,31.0,1005.5,1003.5,23.7,30.6,0,0
245,2013-01-30,Albury,9.9,29.9,0.0,53.0,27.0,1013.5,1012.3,18.0,28.7,0,0
246,2013-01-31,Albury,11.5,33.9,0.0,45.0,13.0,1012.2,1006.1,19.5,32.6,0,0
247,2013-03-02,Albury,14.3,29.2,0.0,46.0,28.0,1021.8,1019.0,18.9,27.4,0,0
248,2013-03-03,Albury,12.0,31.8,0.0,52.0,23.0,1021.7,1018.2,20.0,29.7,0,0
249,2013-03-04,Albury,12.8,31.0,0.0,64.0,23.0,1021.5,1017.6,18.2,29.4,0,0
250,2013-03-05,Albury,13.5,30.9,0.0,66.0,28.0,1021.0,1017.0,18.7,29.5,0,0
