,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5238.410796760586
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9115.111930780298
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1150.629429109023
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,888.3125701680877
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3817.9815059457164
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1660.323775233684
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4438.153414890693
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6611.371700593613
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,562.0340103756611
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3047.082118722163
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,11425.321532155693
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,340.2807770584947
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2294.6933175926342
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5762.668045051605
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4110.9209264022575
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1978.272546171194
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1094.8938794201915
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4105.582909643634
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1422.7377617891152
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1688.2801129060338
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,10221.767451607177
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,658.0165882516385
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1887.6143213622179
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,5889.640709324616
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,969.578784503432
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,637.6553352725784
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,630.7499467055615
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6019.868645136976
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,565.7922915936033
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,817.0559710317449
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3961.3498752569694
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,610.6538437482733
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1612.2671976275506
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1423.9806425166457
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1450.4117168097894
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,836.9988804119535
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1213.878328551985
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,639.5628841701483
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4241.765214065345
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2558.6563545030626
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2188.979977704095
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,559.1822198743446
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2339.472837551573
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3156.2119438616155
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4249.803425910172
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2233.043226812806
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10545.319412347035
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10191.088187775498
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1265.6021813746897
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5420.934069195224
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17452.801141708
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7224.711021501189
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1134.0605226454556
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2585.1853811884075
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5545.269370807984
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5355.802210076938
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5235.3880773619
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2938.291239937669
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4907.280233295251
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,11062.205785433773
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1217.6758179290973
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,713.7033302083529
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,458.8738549405349
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,680.2416425466761
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3048.761593723518
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,807.7573335799962
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4694.338916273196
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1712.9217867837453
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,3187.444938566213
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1709.404323983997
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,417.21287122119725
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1180.2227083030448
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,7540.123203309078
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,617.2656991099789
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1021.5463010892234
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8858.039740000382
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4276.901631504341
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,689.8162548620862
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1350.5640807284863
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6318.792641779597
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4188.4155838986035
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2692.033751510086
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3149.7006195196377
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,558.7980313479612
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4616.220785924846
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3597.5119126003624
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1241.916850468388
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1207.2758774704755
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1683.0807182893898
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4103.578174918641
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4907.9979631623855
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5106.301719020864
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3396.962116498201
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3595.446884628308
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,620.4158390322999
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,9197.87280406384
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,773.6605282110991
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5373.104281333842
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7087.087775902896
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,482.23867535701123
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,925.0373942573659
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2269.3972602893627
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3827.350681199789
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3790.007899276992
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3501.3295804743716
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4677.389964730848
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3011.601059744054
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1034.4144908651458
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,749.0997631125737
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10854.90813219733
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5946.515632903054
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1586.399265292471
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,585.549692692446
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,13186.823025535698
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,11537.571770584016
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,687.4020823553061
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1372.305293029086
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,5893.991116039585
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,643.0579756251283
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1957.822758076175
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3598.677793472244
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1057.921317093754
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,760.8395113996006
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5034.066783772827
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8433.808968741752
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2013.8577221707883
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,781.8195251939139
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2075.03236678642
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3981.825907745205
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1449.7063286891016
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4208.612250954734
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5098.080250558664
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6224.837836488862
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,16366.533878499611
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,11968.84050623542
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,11524.879459270094
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,573.2409394699529
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2725.2738366972017
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3537.7214129235026
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,10527.092504476397
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1315.8040098719323
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2197.429286283515
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5186.131942380067
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1591.298541705211
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9397.768548417382
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1158.317849075649
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9630.078234684217
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6266.463523723678
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,12313.215178040748
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3215.7429539059035
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,976.3299466293204
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,15848.40995283708
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,661.8307458451125
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1581.5806304626888
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3937.3829199048464
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4446.61281056433
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6563.99719741485
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1503.2767861474333
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1478.8418181935758
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4146.455529615
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3596.346766420998
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2957.0002981170487
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1316.7558483905539
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2722.9550318143206
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3754.1435462353693
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5280.229908895006
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2652.7682074235872
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6443.89492302209
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2707.996179441536
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6461.134389498
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2651.5201293779164
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3469.33696585437
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14610.639094426939
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,935.7733189282511
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3173.2371635711233
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3543.157237206096
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,15585.769605990505
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2916.409775794525
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3093.7341282157618
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,952.6003112561328
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,712.2848349740356
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,766.2130948544606
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,6804.677808882353
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,12666.982405920167
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5018.398213963582
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1212.3148813097935
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2743.7238422780506
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6181.554591847745
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2054.3981757526867
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,827.3992354012518
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,727.1640769481847
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2278.3143013983504
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,7066.667582495278
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,7233.844247568463
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5443.57129630469
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,406.2255253686725
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,496.07170574895434
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,983.266098814346
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2365.379037885851
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1289.268841258679
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,631.1450751257153
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4556.908531425885
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1272.992415738415
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,8047.366001000508
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1384.670940633903
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3423.2076121236273
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1316.6217362494278
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4114.764714884535
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,632.4822720091469
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4374.188824604384
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7265.550884755463
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,3720.6859262759194
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5863.96744146367
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3559.0808218292227
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2027.6636598240118
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3127.396851856211
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,577.9748912118197
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,2967.3627212155666
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6150.502736778907
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,8354.924999401179
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8650.937301909948
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2522.142949213314
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1331.7457414141063
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1544.5030935555799
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1411.7946584506976
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,837.6620444568066
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1480.2808267898822
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2675.285739038386
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9271.554685442723
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7794.935949738185
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5149.63791522385
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1283.1597222306689
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1211.6920114295854
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1085.8560682009954
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,646.049258917316
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6281.170627385352
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1097.097533930438
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1099.5836196361843
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1372.3109468110233
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,673.188863856213
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11403.87121759908
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,6909.713044860285
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5730.193674566827
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10595.467033076779
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,882.7024124786249
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,21035.23392015566
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,4921.451403202228
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,709.0800224627659
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,15761.94347359152
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2332.637141676166
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,2039.4919654683968
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10955.63270423028
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,958.2447135254802
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,11311.699211316723
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,587.4497246869773
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5616.789411626707
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1019.3740283829815
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,2652.518621549756
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,7413.0535399671
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5774.854658420529
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,14708.071696821968
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2650.249869848512
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,4936.227461115036
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,508.4163988467061
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,3872.7499825833593
310,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,14567.669994991365
