,carat,cut,color,clarity,depth,table,x,y,z,clarity_mod,color_mod,cut_mod,price_predicted
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,3,3,4,1638.1388680578725
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7,2,4,9307.469033481317
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,6,5,3,1668.1386270297917
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,3,6,4,2533.4863361021066
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,1,3,4,6842.305881375913
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,5,5,4,1667.7807719666052
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,3,1,3,-665.0169443616605
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,2,3,4,-458.4354478900286
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,2,5,1,6245.328141270096
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,4,2,4,60.18256731070869
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,2,6,4,642.5575802641765
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,6,4,4,4887.315369353664
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,3,3,3,-286.340863034894
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,3,5,3,1729.6136050335836
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,2,5,2,1095.5076742267038
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,4,0,4,1429.0069822914493
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,7,4,4,2125.228148969277
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,6,3,4,1870.1705621116298
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,3,4,4,182.7051606132386
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4,2,2,4558.479831635336
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,1,3,3,2706.943604911178
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1,5,3,2329.0807635173805
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,3,0,2,-824.7111292914815
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2,3,2,2298.7958818348984
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3,6,2,3616.5076007015596
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4,2,2,4565.806832613429
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,1,4,2,2213.5767565222513
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,3,2,3,9560.193748733513
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,2,4,2,9685.292545711212
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,4,4,4,1476.0191741514263
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,3,3,3,5447.371321928774
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,1,1,3,17543.532618512356
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5,4,4,7061.541059995603
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,3,6,4,1468.0539369678845
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2,4,4,2699.2922725636026
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,3,5,1,5893.522257643998
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,3,1,2,5817.156510740408
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,3,1,4,5667.200591255989
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3,5,2,3235.7851561893403
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,2,4,3,5210.560770909042
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,3,2,4,9990.631948959266
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,5,3,4,1578.9975828753427
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,3,0,2,-482.86272896466653
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,1,5,2,-799.3113295867533
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,3,3,4,-43.82163509380371
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3,5,3,3390.6964139300258
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,5,3,4,1038.3715170431042
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,1,2,3,5422.884973781867
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,3,5,4,1960.8599598431688
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,0,3,1,4739.325619394731
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,3,5,3,1857.0894643914235
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,5,4,2,487.75219126362026
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,2,4,0,366.9404935667412
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,4,6,2,7576.785517689259
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,4,3,3,73.38875751426167
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,4,0,4,690.9444234021448
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,4,0,4,9711.97864485437
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,1,4,3,4892.355603756299
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,5,3,2,480.3112825031458
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,7,3,4,2498.006861526459
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,3,5,4,6476.624597203081
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,2,0,3,5277.222117411877
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,1,0,2,3618.7521480289215
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3,5,3,3412.796284539905
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,5,2,2,228.0618858397238
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,1,3,4,5289.0306456109865
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4,4,4,4074.9314052282775
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,3,6,4,1602.22543818363
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,2,1,4,476.623515307635
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,3,5,4,2008.797396987903
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,1,4,3,4852.969130930744
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,3,2,3,5068.427688391954
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,3,2,3,5186.675633236817
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,4,5,1,3914.1421418926157
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,1,2,3,4152.529110592894
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,2,6,1,95.48691877457804
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,4,4,4,8330.604685849929
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,4,6,4,1383.6870979301184
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,2,3,3,5371.5289146140585
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5,5,2,7031.551599625912
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,7,4,2,1540.3729836231305
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,4,6,2,1396.1239489753589
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,5,4,4,3049.199629061625
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,2,3,4,4083.8570323083327
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,6,3,4,4554.139724543038
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,2,5,2,3828.684943913538
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,2,2,4,5034.519044411277
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3,5,2,3444.9988603935008
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,2,4,4,557.9816239612164
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,3,5,4,712.0884165947318
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,1,6,0,11522.370030846572
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,2,3,4,6199.328359886178
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,2,6,4,1895.3703531628785
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,4,3,2,87.24058099302556
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,4,3,3,10702.063923950958
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,1,2,0,13368.977319416537
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,4,2,3,7.1464997970451805
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,0,3,2,984.9287654399604
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,2,1,3,6531.885788709218
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,3,6,3,542.7959831526778
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,4,2,2,1952.223624199261
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,2,5,4,4111.0823629142715
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,5,3,2,1158.6283039956747
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,7,2,4,1602.9542348640125
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,1,1,4,6157.657778794505
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,1,4,2,9204.896494015195
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,4,3,4,2324.246900796943
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,6,3,4,1356.6172983280508
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,5,2,4,2405.7244551764666
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,1,5,3,4774.244474614802
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,2,5,2,1298.170526087607
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,2,2,2,4656.059370688147
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,4,1,1,5614.37313070745
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,2,2,4,6520.226823854749
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,3,2,0,14092.073845611107
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,3,3,4,10261.216526894816
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,1,1,2,13172.93876632097
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,5,4,1,576.493156663973
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,4,3,0,2546.5633123164534
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,6,3,4,4425.8193858571285
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,0,2,0,15437.937211116352
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,3,0,4,975.9556397547167
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,4,6,4,3125.10223329029
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,2,1,2,5967.17730405212
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,3,4,2,1482.1922236235037
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,1,4,3,9968.287266513173
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,0,1,3,556.4136515375967
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,2,2,2,9633.500161843447
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,3,6,2,6315.443275829138
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,3,4,3,10204.982397106498
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,4,5,2,3736.861112575012
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,2,4,3,342.91920103742086
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,2,2,3,14002.277243118388
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,4,3,3,146.42681668093337
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,5,5,4,2432.567124918941
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5,6,4,4891.853694496166
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,2,0,3,5698.844429636982
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,4,3,4,6442.9545839275215
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,0,4,4,1708.413789350925
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,2,4,3,1203.3264464163203
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,1,2,3,4758.567973266784
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,1,5,3,4304.222489262739
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3,4,3,3249.5241145411283
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1,4,1,749.8766744515565
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3,3,2,2586.593916396386
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,2,3,3,3876.267169609091
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,2,3,4,5490.640793807561
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,1,2,3,2816.571584157489
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,3,3,3,6273.927055693717
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2,5,4,2975.012027983089
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,4,3,3,6106.055230512926
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,0,5,3,3810.7723516292463
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,0,4,3,5093.2560267503
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,1,2,3,14468.459505953291
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,6,4,4,1817.8667625849757
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3,1,0,3333.108683042453
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4,5,4,4105.681874301761
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,3,3,4,12419.58754015744
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2,2,4,3049.317161795677
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,6,1,1,3642.1678016232217
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,3,3,4,489.3199454226269
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,3,3,4,80.867382286252
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,3,4,3,348.28721179733657
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,3,1,2,7220.749342833219
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,2,3,3,11300.485720098184
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,2,4,3,5309.339213204882
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,2,6,1,991.169869427069
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2,5,3,3042.9095059868196
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,4,3,4,6110.635901319523
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1,0,1,2483.7233056412897
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,6,4,4,1737.7423053746616
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,6,3,4,1357.0221769123914
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2,3,2,2130.4483572123895
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,7,2,3,7041.447993726422
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,1,2,2,8467.800070962181
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4,6,2,5832.409916288201
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,5,4,1,139.82252509766704
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,5,5,1,786.1910865429909
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,5,4,4,1425.7992124545344
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,1,6,2,2915.967644688544
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,7,3,2,2269.992498524921
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,3,5,4,483.3559990181452
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5,0,3,5353.118232645389
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1,6,4,1304.417119271057
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,0,4,3,10903.357351221759
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,2,5,1,1015.0694652401999
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,4,5,4,4001.1611227146686
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,3,2,1,678.7595655643049
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,1,4,3,4728.814289265185
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,3,4,4,159.56937280800412
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,2,3,1,4673.331623915139
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,2,5,1,7434.0645558145025
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,2,1,2,4289.195307931415
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,3,3,4,5984.575184996636
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,2,3,1,3589.9069636280074
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,3,5,4,2387.1583498789732
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,2,4,2,3365.1732627483234
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,2,6,4,180.59837895088913
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3,2,4,3033.2283824612555
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,2,2,3,6495.701646553278
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,4,0,2,9557.304113192688
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,5,2,4,8134.192676959858
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2,4,4,2761.6255225920168
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,3,1,4,878.8830177604268
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,4,5,4,2149.4398326224973
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,7,3,4,2585.7869548659583
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,3,4,2,396.21383063709027
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1,4,4,1250.2496401109092
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2,4,3,2731.1636897177277
